eng_reviews,sentiments
"Been using it for the last month, really goor battery timing, handy fast charging feature, camera works really well for daily use, especially for videgraphy. Overall satisfied with the purchase.  Looks wise 10 out of 10, loved the metal build.",POSITIVE
"I recently purchased the Samsung Galaxy M05 for just under INR 6500, and I must say, I am very impressed! For the price, this phone is an absolute steal and offers incredible value for money.  The large display is a real highlight, providing a great viewing experience for day-to-day tasks. Despite being a budget phone, it has a premium feel in hand, which is a pleasant surprise. The build quality is solid, and it doesn’t feel cheap.  Battery life is outstanding! It lasts all day with moderate use, and I don’t have to worry about charging frequently. Whether you're browsing the web, checking social media, or streaming videos, it gets the job done efficiently.  While it's not a phone meant for heavy tasks like gaming or intensive apps, it excels at handling basic jobs like calling, texting, browsing, and light media consumption. It's perfect if you're looking for a reliable phone for everyday use without breaking the bank.  Overall, I’m really happy with my purchase. If you're looking for a budget phone that does the essentials really well, the Samsung Galaxy M05 is an excellent choice!",POSITIVE
All I can say it's worth it considering that Price  You can't expect High range Performance in 7k Budget mobiles  Let's talk About Mobile - Big Screen Looks good - Build-in Quality is Good - Battery is Good - Camera Quality Below Avg they said 50mp expected more but it's below avg - Processing is Above Avg  It's good for Normal Use not for heavy use,POSITIVE
"Thankyou so much Amazon India to buy my dream smartphone of our doorstep . Product is good, Delivery person is good and helpful behaviour activity, Perfect price of all retail smartphone shop , easy handling .",POSITIVE
"Processor- Slow processor but i guess you cant ask for much in this price bracket, the UI is smooth most of the time and its good enough to use social media apps and to watch videos and all  Camera- Not very good but well we cant ask for much in this price range.  Screen- Its actually really good for normal day to day usage, the colours and the sharpness is very decent, i dont like the inclusion of thick bezels but i guess again its the price segment so cant ask for much, viewing angles are kinda bad  Battery- will last you a whole day if you try, it couldve been better tho  Build- Its solid, yes it makes the phone heavy and bulky but yeah its solid and has a good in hand feeling",POSITIVE
"I've been using this Samsung phone for a bit, and here's the lowdown. Considering it costs around ₹6,500-₹7,000, I think it's a pretty great deal.  Sure, there are some compromises. No fingerprint sensor (the face unlock compensates some what for that), and yeah, not having a charger in the box is a bit of a hassle if you don't already have one. The speakers could be better, and a Full HD display would've been nice.  But let's be real, at this price point, you can't expect perfection. If you're like me and just need a reliable phone for everyday stuff – calls, texts, social media, and some streaming – this phone gets the job done. Gaming enthusiasts might want to look elsewhere, but for casual users, I think this Samsung device is a solid choice.  Would I recommend? Absolutely, for basic usage.",POSITIVE
Small budget Nice phone,POSITIVE
Excellent product and quality Excellent lov price he is the best product and brand samsung mobiles 📱,POSITIVE
"LOOKS ARE GOOD, CAMERA IS WORKING FINE. OVERALL GOOD PHONE IN BUDGET. SOME TIMES SHOWS CHARGING ISSUE WITH OTHER CHARGERS. WHEN SWITCH OFF IS CHARGING AND WHEN ON IS NOT WORKING.",POSITIVE
"The OnePlus Nord CE4 Lite 5G emerges as a compelling mid-range smartphone that offers excellent value for budget-conscious consumers. Here's a detailed breakdown of its key strengths and minor limitations:  Standout Features: - Battery Performance: Exceptional 5,500 mAh battery that easily lasts a full day, complemented by blazing-fast 80W SUPERVOOC charging - Display: Bright 6.67-inch AMOLED screen with 120Hz refresh rate, offering smooth and vibrant visuals - Camera: Decent 50MP Sony LYT-600 primary camera with good daylight performance  Pros: - Long-lasting battery life - Fast charging capability - Bright AMOLED display - Affordable pricing - OxygenOS 14 based on Android 14 - Expandable storage up to 2TB  Cons: - Uses an older Snapdragon 695 processor - Limited video recording to 1080p - No wireless charging - Only two rear cameras with a basic 2MP depth sensor  Final Verdict: The OnePlus Nord CE4 Lite 5G is an excellent choice for users seeking a reliable, budget-friendly smartphone with strong battery performance and a smooth user experience. It may not be revolutionary, but it delivers solid value for everyday use.",POSITIVE
My review : Performance [ 4/5 ] - Gaming Performance good but you'll see some frame drops and lag somewhere while using but a great gaming experience at this price. Camera [ 3/5 ] - Very limit features in camera app and quality is also not good and you'll find better options in market at 20k. Battery [ 5/5 ] - Awesome battery life and 80w fast charging is crazy and will take about 40m-60m for 0-100%. Display [ 4.5/5 ] - Good display quality in this price segment. Software [ 4/5 ] - Somewhere a decent ui experience but if you are looking for a good ui then Samsung ofc will be the best option. Conclusion - If you are looking for a phone for normal use and don't use camera that much then it's a great choice but OnePlus as a company is not offering you something special if you buy at by seeing their brand value and it's quite similar to Realme Mobiles.,NEGATIVE
"I recently purchased the OnePlus Nord CE 4 Lite, and it has truly exceeded my expectations, deserving a solid 5-star rating. Here’s a detailed breakdown of why this phone is an excellent choice:  Design and Build Quality: The OnePlus Nord CE 4 Lite boasts a sleek, modern design with a premium feel. The materials used are top-notch, giving it a solid and durable build. Its slim profile and lightweight nature make it comfortable to hold and use for extended periods.  Display: The phone features a stunning AMOLED display with vibrant colors and sharp resolution. Whether watching videos, playing games, or browsing the web, the visuals are crisp and clear. The high refresh rate adds to the smoothness of the experience, making every interaction buttery smooth.  Performance: Powered by the Qualcomm Snapdragon 695 SoC, the OnePlus Nord CE 4 Lite handles everything with ease. From multitasking to running graphic-intensive games, it performs without a hitch. While the processor might not be the latest, it still delivers reliable performance for daily use.  Camera: The camera setup is impressive, especially the 50MP main sensor, which captures detailed and vibrant photos even in low light. The wide-angle lens adds versatility, allowing for creative shots. The video recording quality is also top-notch, with stable and clear footage. However, low-light photography could use some improvement.  Battery Life: Battery life is outstanding, easily lasting a full day with moderate to heavy use. The 5,500mAh battery ensures you won’t run out of juice during the day. The fast charging feature is a lifesaver, allowing you to quickly top up the battery when needed.  Additional Features: The phone has an official IP54 certification for protection against water splashes and dust. The design, inspired by minimalist tones and patterns, gives it a premium look. The 3.5mm audio jack is a bonus for wired earphone users.  In conclusion, the OnePlus Nord CE 4 Lite is an excellent smartphone in its price segment. Its design, display, performance, and battery life make it a worthy contender. While it could benefit from a newer processor and improved low-light camera performance, it still offers great value for money. For daily usage, the Nord CE 4 Lite will not disappoint.",POSITIVE
Camera quality: very good Charging speed: very fast Fingerprint reader: very quicky Weight: light weight Heating issue: didn't tried gaming so not sure about high level performance but for normal use it is not heating at all,NEGATIVE
"I purchased it for my sister, she is not a heavy user. She uses it for pictures, social media and youtube mostly. So She is happy with this mobile. It looks sleek, and colour also matches India’s current political situation 😊. Camera is satisfactory. Battery is long lasting which is nice to have. 5g woks excellent. So overall it’s a nice phone. I got it on discount so keep an eye out",POSITIVE
Pros: Good battery backup Decent camara in well light condition Cons: Poor processer and performance Worest photos in low light condition Faced lack in finer print sensor Finally not worthy under 20k segment Best option is Poco x7 comparing with this.,NEGATIVE
"OnePlus are the very best manufacturers of mobile devices, bar none.",POSITIVE
Don't go for this device..am wonder about that in product's it's clearly mentioned that only for sale and warranty in India..then why this seller selling in uae ?🤬waste of time,NEGATIVE
"Phone looks good, but no phone cover or charger like seen in some reviews",NEGATIVE
"The iQOO Z9 Lite 5G offers an attractive package, especially for users seeking solid performance at a budget-friendly price. Here’s a closer look at its key aspects:  Design and Display:  The Aqua Flow variant looks sleek with its gradient finish, adding a touch of elegance. The phone is lightweight and comfortable to hold, making it easy for one-handed use. Its 6.58-inch Full HD+ display is sharp and vibrant, offering good color reproduction and brightness for media consumption. Though not AMOLED, the display performs well in outdoor lighting conditions and provides smooth scrolling with a 120Hz refresh rate.  Performance:  Powered by the Dimensity 6300 5G chipset, this device ensures a snappy and fluid user experience. It handles multitasking well, although the 4GB RAM might struggle slightly with heavier apps and games when compared to 6GB or 8GB variants. For regular usage like social media, video streaming, and casual gaming, the phone performs admirably. The inclusion of 5G support is a strong future-proofing move, especially at this price point.  Camera:  The 50MP Sony AI Camera setup is one of the phone’s strongest features. It takes good-quality pictures in daylight with sharp details and vivid colors. However, low-light performance could be better, as images tend to get noisy in dim environments. The AI optimizations, such as scene recognition, enhance the photography experience, making it easy to capture decent shots with minimal effort. The front camera is decent for selfies and video calls, though not exceptional.  Battery and Charging:  The phone packs a 5000mAh battery, which easily lasts a full day of moderate use. The charger in the box is a nice touch, offering fast charging support that gets the phone charged in under two hours. Battery optimization is good, ensuring you won’t run out of juice during regular day-to-day tasks.  Storage and Software:  With 128GB of storage, there’s ample room for apps, media, and files, and the phone supports microSD expansion if needed. The software experience is clean and customizable with iQOO’s Funtouch OS, which runs smoothly on Android. The UI is user-friendly, though there are some pre-installed apps that may not be necessary, but they can be uninstalled.  Verdict:  The iQOO Z9 Lite 5G is a competitive mid-range smartphone with solid performance, 5G support, a reliable camera, and good battery life. If you’re looking for a budget-friendly 5G phone with a stylish design, it’s a solid pick, but the 4",POSITIVE
"I am reviewing this after fully used and drop, ip test with pros and cons. If you want a phone with great performance, decent Camara also with latest Android 14 under 12k this phone will be perfect.. Best things are it's comes with Android 14 with funtouch os (if you are previously Vivo user you will got this) which is a great experience for me as 1st time user. On these segment its comes with 50 mp Sony IMX sensor 😘 with popular modes like slomo, which is really appreciated for budget lovers.. It's also supported 2k resolution with no lag..🤩 You will get 6gb ram with auto booster and 128 gb variant under 12k, it's a massive storage on budget..🤗 Ip64 with dust resistant, I have compared with other phones on this budget they have ip54 with no dust resistant feature..😄 This are the main points that I liked much, also I liked the wifi 5, fingerprint it's really fast with no animation, less bloat apps, ultra game mode etc..😉 Let's see the cons that I've got..😑🥴 Charging watt should be better at least 20 watts with inbox charger, 10 watt charger comes with it but the phone is supported 25 watt fast charging.. but 5000mah is good for long lasting uses.. charging time 5-80% was 1.15 hrs with inbox charger. Display should be comes with at least type IPS, it's comes with LCD display and decent colour gamut and 90hz gives most of all other phones on these budget. 1080p display will be much appreciated.. Design is good but if you have seen the poco c61 design that is comes with new radial cam design, so it's a disappointed because that's a under 7k phone..😆 Animation uses cause phone slower than usual..bso I will suggest not to use that..  Overall seen, decent Camera and Design, great performance (I will suggest to buy 6gb variant) with 5g variant, full day battery backup (for less gamers), IP64 with dust resistant 😍, latest Android 14 with 2 years of major upgrades and 3 years of security updates, handy weight with silicon cover on box.. Overall good on these budget segment with trust of VIVO.. 🫶",NEGATIVE
Good working,POSITIVE
"Bought this phone with a bit of trepidation because 3 of the 7 Samsung phones I have bought prior to this one - either for myself or family - have developed a screen issue, Although only one was serious enough to require a visit to the service center. Thought of switching to a different company but seeing as all of them usually end up with some issue or the other, and the ratings of most of them end up around 4 stars anyway, I decided to stick with the known devil. And besides the display issue, most have served for a good time, including its ancestor, the M30, that this will replace. That too developed a screen issue but it was after 4 years of use so not complaining too much.  Initial impressions so far has been decent. They have finally got rid of the water drop notch and gone with the punch hole in the M3x series, so that is good, it looks nicer. Even the overall design has been upgraded to bring it closer to the flagship S series with the flat sides and no camera island. No sharp edges either, so it is not uncomfortable to hold... except for the weight.  Samsung phones, particularly the non flagship ones, are heavier than they should be for some reason (comparing to similarly spec'd phones by other companies), And this one is on the heavier side even among those at 222g. My primary phone too is heavy (not Samsung) so I am used to it, but I would nonetheless like a lighter phone. My father's M52 which has a 5000mah battery is 50g lighter and so much more comfortable in the hand and the pocket.  If you add a case and a screen protector, the weight will increase even further so note that. The 6000mah battery however does its job and the phone is lasting me 1.5 - 2 days between charge. I'm not a heavy user though, no gaming or constant camera usage and such so your mileage may vary.  I like the fingerprint sensor in the power button, very responsive. Better than the in display type I think. It supports sd card (hybrid sim - sd card) so that's good. The base 128gb model should be enough because of this, can upgrade storage with an sd card when needed.  They have dropped the audio jack, but I have moved on to wireless so not a concern for me but I know there are die hard fans. A related drawback though is that FM radios are no longer possible since they need a wired earphone to act as antenna. I didnt use it too frequently but it was nice to have for those rare occasions.  Not much of a camera guy so cant comment on how good or bad it is. Didn't notice any slowness or other issues, works well enough for my basic needs. No heating either - it was slightly warm during charging which is normal and again a little bit during video recording and the like, but that was barely so, less than during charging. I dont really do too many heavy processing type tasks, or even gaming.  For regular needs this phone should be fine I think. If it stays this way for a few years I think I will be happy with this phone. On paper it seems to be a good phone at a decent price. I took a gamble by buying it soon after launch, without waiting for reviews. I havent noticed any drawbacks so far and hopefully it wont give me any reason to regret later on. Fingers crossed. Giving it 5 stars for now, will update if anything happens.",NEGATIVE
"Pros: - Great battery backup. With moderate usage on WiFi, can easily last upto 2 days. Also, there is very less battery drain when idle, especially overnight. Definitely one of the best with 6000 mAh. One of my primary reasons to buy this phone. - Camera quality at this price is way above average. - Finally, punch hole display from Samsung for M series and at this price point. - One UI software is very stable and comes with plenty of customisations. - No issues in performance with multitasking involving streaming videos, music, social media apps, browser surfing, etc. Can't say about gaming as I am not a gamer. - Up to 4 gens of software updates which hardly any company provides even with flagship phones. But need to keep in mind that the product page on Samsung's website clearly states that this is not a promise but just their current plans, and it can be changed anytime at their own discretion.  Cons: - Bulky (which is expected considering the massive battery), holding with one hand for extended period of time causes discomfort, specially if you are used to phones weighing below 175g. - Headphone jack missing. Considering the thickness of the phone, this could easily have been accommodated. - Phone does not come with any IP rating which is surprising, so any contact with water might potentially cause damage. - There is a noticeable battery drain with 5G network, but could be improved in future software updates. - Not specific to this phone but with all Samsung phones: Missing charging adaptor, back cover, and screen protector. So, need to shell out extra money for these.",NEGATIVE
"Good budget phone. If you are looking for a decent phone from a trusted brand go for it . Good built quality, decent camera , clean UI . Also for people looking for a secondary android phone can go for this one .  Cons : No charger , no back cover comes with the box  Just to highlight : I am not a gamer and use mainly social media and streams apps . If you are gamer please go for a different device.",POSITIVE
"Literally best product for those who avoid chinese products like me.  Display: SAmoled 120hz with victus+ protection Speaker sound: Dual loud with excellent bass quality Build: Solid build Software: One ui 7 (coming soon) Battery: 6000 Mah Camera: 50Mp OIS Os updates: 4 years Android updates Samsung customer service is top notch  This samsung M35 has satisfied my needs more than what i expected  My previous phone was Samsung M31, this M35 is significantly improved compared to M31  My suggestion: Buy extended warrenty, enable dolby atmos, use finelock to customize nextlevel  Thanks for your time",POSITIVE
"Good design, battery backup, customised UI, display, performance.  Camera is just okay.  Device weight is heavy. Which is complicate to handle.",NEGATIVE
The mobile is coming with a factory loaded login pin. This prevented me from loading Apps and start working. I have to visit a Samsung Authorised Service Center to remove the login pin. This has casued a lot of mental agony and inconvenience.,NEGATIVE
"The Samsung Galaxy M35 is a solid all-rounder, offering best-in-class display quality and reliable performance in the budget segment. Whether you’re a casual user or a basic gamer(not for pro), this phone has you covered. If you're looking for a device that punches above its weight without breaking the bank, the Galaxy M35 should be at the top of your list in budget.  Stunning Display Quality Best performance Great battery life",POSITIVE
It is pretty fast and great for the price.,POSITIVE
Good and quality,POSITIVE
